Test_ID,Single_Valid_All_Keys,Single_Latency,Multi_Valid_All_Keys,Multi_Latency,Single_Raw,Multi_L1_Raw,Multi_L2_Raw
Task_001,True,14.02,False,19.67,"{   ""TTP_ID"": null,   ""Explanation"": ""The command 'ping 8.8.8 end' is a common network diagnostic tool used to check the reachability of a host on an IP network and measure the round-trip time for messages sent from the originating host."",   ""Severity"": ""Low"",   ""Mitigation"": ""Educate users about safe practices, implement least privilege access controls, monitor unusual activity."" }","{   ""TTP_ID"": ""CVE-2023-XXXXX"",   ""Explanrance"": ""The command 'ping' is a common network utility used to test the reachability of hosts on an IP network. The MITRE ATT&CK framework does not have specific tactics and techniques for this basic tool, but it can be associated with general reconnaissance activities such as gathering information about target systems or networks."" }","{   ""Severity"": ""Low"",   ""Mitigation"": ""Educate users on safe browsing habits and ensure that only trusted software is used."" }"
Task_002,True,10.38,False,18.52,"{   ""TTP_ID"": null,   ""Explanation"": ""The log entry indicates that the user 'user01' executed a command to start Google Chrome with an argument specifying it as a renderer process. This alone does not necessarily indicate malicious activity."",   ""Severity"": ""Low"",   ""Mitigation"": null }","{   ""TTP_ID"": ""T1234 - Command and Scripting Interpreter"",   ""Explaninq"": ""The command line 'chrome.exe --type=renderer' indicates that the user is running a script or program to start Google Chrome with specific parameters, which could be part of an attack scenario where scripts are used for malicious purposes."" }","{   ""Severity"": ""Low"",   ""Mitigation"": ""Educate users on safe browsing practices and ensure up-to-date antivirus software is in place."" }"
Task_003,True,11.8,True,39.54,"{   ""TTP_ID"": null,   ""Explanation"": ""The event ID corresponds to a successful system logon as the 'NT AUTHORITY\\SYSTEM' account."",   ""Severity"": ""Low"",   ""Mitigation"": ""Ensure that only necessary services run under this highly privileged account and consider using least privilege principles for service accounts."" }","{   ""TTP_ID"": ""T1038"",   ""Explanation"": ""The Event ID 4624 corresponds to a successful logon event. The LogonType of 5 indicates that the user was logged on interactively, which means through direct interaction with the system's console or remote desktop session (e.g., using Remote Desktop Protocol). Since 'NT AUTHORITY\\SYSTEM' is typically a service account used for automated tasks and not directly by users, this could indicate that an attacker has gained interactive access to the machine as part of their lateral movement or privilege escalation strategy. According to MITRE ATT&CK framework (Adversarial Tactics, Techniques & Common Patterns), successful logon events are categorized under technique ID 'T1038', which is associated with gaining access through compromised credentials."" }","{   ""Severity"": ""High"",   ""Mitigation"": ""Immediately revoke the service account privileges, force a password reset for all user accounts on the system, and conduct an urgent security audit to identify any signs of compromise or lateral movement within your network."" }"
Task_004,True,16.91,True,22.59,"{   ""TTP_ID"": null,   ""Explanation"": ""The command line includes '-nop' and '-w hidden', which are common obfuscation techniques used by threat actors to hide their PowerShell scripts. The presence of an encoded string suggests that the payload is designed for stealth."",   ""Severity"": ""High"",   ""Mitigation"": {     ""User_Account_Control"": ""Disable or restrict administrative privileges on user accounts, especially those with 'admin' rights.""   } }","{     ""TTP_ID"": ""PowerShell Empire (CVE-2017-11886)"",     ""Explanation"": ""The command line indicates the use of PowerShell with parameters that suggest obfuscation and encoding, which are tactics associated with threat actors like Phosphorus. The presence of 'admin' as a user could imply privilege escalation or lateral movement within a network."" }","{   ""Severity"": ""High"",   ""Mitigation"": ""Implement strict execution policies, disable PowerShell remoting if not needed, and conduct regular system audits to detect unautcurated scripts."" }"
Task_005,True,13.81,True,26.71,"{   ""TTP_ID"": null,   ""Explanation"": ""The command line indicates that the process 'lsass.exe' is being dumped using procdump with memory and all threads captured."",   ""Severity"": ""Medium"",   ""Mitigation"": ""Review system logs for unusual activity related to lsass.exe, ensure proper security measures are in place around sensitive processes."" }","{   ""TTP_ID"": ""T1086"",   ""Explanation"": ""The command line 'procdump.exe -accepteula -ma lsass.exe lsass.dmp' indicates an attempt to capture a memory dump of the lsass process, which is associated with handling user credentials in Windows systems. This aligns with T1086 from MITRE ATT&CK framework where attackers use tools like ProcDump or WinDbk (WinDBG) for capturing system processes and their state to analyze later."" }","{   ""Severity"": ""High"",   ""Mitigation"": ""Ensure that only trusted applications are allowed to execute ProcDump or WinDbk, restrict access privileges for the lsass process and regularly monitor system logs for suspicious activities."" }"
Task_006,True,24.64,True,23.4,"{   ""TTP_ID"": null,   ""Explanation"": ""The log indicates that there have been multiple failed login attempts due to an unknown username or incorrect password. This suggests a brute force attack where the perpetrator is trying different combinations of usernames and passwords in hopes of gaining unautcurated access."",   ""Severity"": ""High"",   ""Mitigation"": [     ""Implement account lockout policies to temporarily disable accounts after a certain number of failed login attempts, forcing attackers to move on or risk detection."",     ""Enforce strong password requirements and educate users about the importance of using unique passwords for different services."",     ""Enable multi-factor authentication (MFA) which requires additional verification beyond just username and password."",     ""Monitor account access patterns regularly and investigate any anomalies to detect potential breaches early.""   ] }","{   ""TTP_ID"": ""Mitre ATT&CK ID for Account Lockout"",   ""Explanation"": ""The provided log entry indicates an account lockout event due to a failed login attempt, which is consistent with the 'Account Isolation' tactic in MITRE ATT&CK framework. This suggests that attackers are attempting brute force or dictionary attacks on user accounts."" }","{   ""Severity"": ""High"",   ""Mitigation"": [     ""Implement account lockout policies after a certain number of failed attempts."",     ""Use complex passwords and enforce password change frequency to reduce the risk of brute force attacks."",     ""Enable multi-factor authentication for added security.""   ] }"
Task_007,True,26.75,False,20.84,"{   ""TTP_ID"": null,   ""Explanation"": ""The command line indicates that a scheduled task is being created with the name 'Updater'. The executable to be run at startup ('/tr') appears to be located in an unconventional path and has no recognizable file extension. This could suggest malicious intent as legitimate software typically does not execute from such paths or lack proper extensions."",   ""Severity"": ""High"",   ""Mitigation"": {     ""Immediate_Action"": ""Disable scheduled tasks using the 'tasklist' and 'schtasks' commands, then remove any suspicious task with '/delete'. Use a trusted antivirus to scan for malware."",     ""Long_Term_Actions"": [       ""Restrict write permissions on sensitive directories like C:\\Temp"",       ""Implement least privilege principles by running services and tasks under minimal user rights necessary.""     ]   } }","{     ""TTP_ID"": ""T1546 - Scheduled Tasks"",     ""Explanrance"": ""The command line indicates the creation of a scheduled task named 'Updater' that triggers at system startup and runs an executable located in C:\\Temp\\malware.exe, which is consistent with tactics used by threat actors to execute malicious code on target systems."" }","{   ""Severity"": ""High"",   ""Mitigation"": ""Immediately isolate the affected system, remove and replace 'schtasks.exe', investigate for persistence mechanisms or other malicious activities related to scheduled tasks."" }"
Task_008,True,12.13,True,20.22,"{   ""TTP_ID"": null,   ""Explanation"": ""The command line indicates an attempt to cache a potentially malicious executable from 'http://bad.com' using certutil."",   ""Severity"": ""High"",   ""Mitigation"": ""Implement strict URL filtering and blocking of known bad domains; educate users on the dangers of downloading files from untrusted sources."" }","{     ""TTP_ID"": ""T1083"",     ""Explanation"": ""The command line indicates the use of 'certutil.exe' to cache a potentially malicious payload from an external URL, which is consistent with techniques used in Command and Control (C2) infrastructure as well as data exfiltration."" }","{   ""Severity"": ""High"",   ""Mitigation"": ""Immediately isolate the affected system, remove 'certutil.exe' from command execution paths if necessary, and investigate all network traffic for signs of data exfiltration or C2 communication."" }"
Task_009,True,13.41,True,22.13,"{   ""TTP_ID"": null,   ""Explanation"": ""The command 'wevtutil.exe wevtutil cl Security' is used to clear the security event log on a Windows system."",   ""Severity"": ""Medium"",   ""Mitigation"": ""Regularly monitor and review logs for unautcurate activities, ensure proper access controls are in place, use automated tools or scripts if necessary to manage large volumes of data."" }","{   ""TTP_ID"": ""T1022"",   ""Explanation"": ""The command line 'wevtutil cl Security' is indicative of an attempt to clear the security event log, which aligns with tactics used in cyber kill chain phases such as Reconnaissance and Weaponization. This action can be associated with T1022 - Log Management from MITRE ATT&CK framework."" }","{   ""Severity"": ""High"",   ""Mitigation"": ""Immediately secure and monitor the system for any unauthorized changes, investigate recent activities that could have led to this action, ensure all security event logs are intact and review log management policies."" }"
Task_010,True,13.17,True,23.32,"{   ""TTP_ID"": null,   ""Explanation"": ""The command line indicates that the Volume Shadow Copy Service (VSS) is being used to create a shadow copy of all volumes without prompting for confirmation."",   ""Severity"": ""Medium"",   ""Mitigation"": ""Implement strict access controls and monitoring on VSS-related tools, ensuring that only authorized personnel can initiate backup processes."" }","{     ""TTP_ID"": ""T1568 - System Administration Tools and Processes"",     ""Explanation"": ""The command line indicates the use of 'vssadmin.exe', a system administration tool used to manage shadow copies on Windows systems, which could be leveraged by an attacker for privilege escalation or lateral movement within a network."" }","{   ""Severity"": ""High"",   ""Mitigation"": ""Ensure that only administrators have access to the 'vssadmin.exe' tool, implement strict monitoring of shadow copy usage and regularly audit system logs for unaut extraneous or suspicious activities."" }"
