Test_ID,Single_Valid_All_Keys,Single_Latency,Multi_Valid_All_Keys,Multi_Latency,Single_Raw,Multi_L1_Raw,Multi_L2_Raw
Task_001,True,7.95,True,10.64,"{""TTP_ID"": ""T1021"", ""Explanation"": ""A routine network reconnaissance scan using the ping utility to check connectivity."", ""Severity"": ""Low"", ""Mitigation"": ""Implement strict firewall rules limiting outbound ICMP traffic.""}","{""TTP_ID"": ""None (Benign)"", ""Explanation"": ""Routine network diagnostics using an external DNS resolver.""}","{""Severity"": ""Low"", ""Mitigation"": ""None required.""}"
Task_002,True,8.05,True,10.45,"{""TTP_ID"": ""T1569.321"", ""Explanation"": ""Chrome process injection via a legitimate browser executable."", ""Severity"": ""High"", ""Mitigation"": ""Implement application control policies to restrict execution of unapproved processes.""}","{""TTP_ID"": ""None (Benign)"", ""Explanation"": ""Standard web browser execution by the user.""}","{""Severity"": ""Low"", ""Mitigation"": ""None required.""}"
Task_003,True,10.82,True,10.85,"{""TTP_ID"": ""T1089"", ""Explanation"": ""A service account (NT LSA) attempted to log on as a standard user. This is highly suspicious, especially if the process executing this privilege escalation attempt has no known legitimate reason."", ""Severity"": ""critical"", ""Mitigation"": ""Restrict execution rights for non-administrative services and apply strict least privilege principles.""}","{""TTP_ID"": ""None (Benign)"", ""Explanation"": ""Routine system service logon event. Standard operation of the Windows Service.""}","{""Severity"": ""Low"", ""Mitigation"": ""None required.""}"
Task_004,True,8.04,True,14.29,"{""TTP_ID"": ""T1053.002"", ""Explanation"": ""A scheduled task executing a malicious payload via PowerShell."", ""Severity"": ""High"", ""Mitigation"": ""Disable or remove unfamiliar scheduled tasks.""}","{""TTP_ID"": ""T1053.002"", ""Explanation"": ""A scheduled task executing a malicious payload, indicating an adversary is using the System Shutdown/Reboot binary event to execute a pre-existing Powershell script.""}","{""Severity"": ""High"", ""Mitigation"": ""Disable scheduled tasks executing non-standard executables, implement application whitelisting.""}"
Task_005,True,10.64,True,15.54,"{""TTP_ID"": ""T1075"", ""Explanation"": ""The adversary is using Sysmon Procdump to monitor and dump the memory of an LSASS process for credential harvesting."", ""Severity"": ""High"", ""Mitigation"": ""Disable or restrict execution permissions for procdump.exe, apply strict firewall rules, enable Defense in Depth (DID) monitoring.""}","{""TTP_ID"": ""T1087"", ""Explanation"": ""The adversary executed the Sysinternals ProcDump utility to monitor and dump memory contents of the LSASS process for offensive forensic analysis or credential harvesting.""}","{""Severity"": ""High"", ""Mitigation"": ""Immediately terminate the affected process, investigate the security group policies allowing execution of Sysinterness tools by standard users, and implement strict least privilege controls.""}"
Task_006,True,9.12,True,12.44,"{""TTP_ID"": ""T1089"", ""Explanation"": ""Multiple failed logon attempts detected. This is indicative of a brute force attack targeting user accounts."", ""Severity"": ""High"", ""Mitigation"": ""Implement account lockout policies, monitor for anomalous activity, and consider MFA.""}","{""TTP_ID"": ""T1070.001"", ""Explanation"": ""Multiple failed logon attempts detected, indicating a brute force password guessing attack.""}","{""Severity"": ""High"", ""Mitigation"": ""Implement account lockout policies and monitor for credential stuffing attacks.""}"
Task_007,True,8.22,True,12.62,"{""TTP_ID"": ""T1053"", ""Explanation"": ""Creation of a scheduled task executing malicious code."", ""Severity"": ""High"", ""Mitigation"": ""Disable scheduled tasks. Quarantine or delete \""Updater\"" scheduled task.""}","{""TTP_ID"": ""T1053"", ""Explanation"": ""A scheduled task was created pointing to an executable, likely establishing persistence.""}","{""Severity"": ""High"", ""Mitigation"": ""Immediately terminate the suspicious scheduled task and conduct a thorough system scan with updated antivirus definitions.""}"
Task_008,True,8.56,True,14.2,"{""TTP_ID"": ""T1021"", ""Explanation"": ""Certutil is being abused to download a remote executable file, bypassing application control."", ""Severity"": ""High"", ""Mitigation"": ""Restrict execution of certutil.exe and monitor outbound network traffic.""}","{""TTP_ID"": ""T1209"", ""Explanation"": ""Indirect Command Execution via Certutil. The attacker is using certutil to download and extract a payload from an external server, bypassing standard file system monitoring.""}","{""Severity"": ""High"", ""Mitigation"": ""Block outbound HTTP/HTTPS requests containing executable payloads via advanced threat hunting or firewall rules.""}"
Task_009,True,7.89,True,13.26,"{""TTP_ID"": ""T1075"", ""Explanation"": ""Attacker is deleting the Security event log to cover their tracks."", ""Severity"": ""High"", ""Mitigation"": ""Regular backups of security logs and system integrity monitoring are essential.""}","{""TTP_ID"": ""T1078"", ""Explanation"": ""The Windows Event Utility was used to clear the Security event log, erasing traces of malicious activity.""}","{""Severity"": ""High"", ""Mitigation"": ""Immediately restore from backup. Conduct a thorough forensic investigation. Update antivirus signatures and apply patches.""}"
Task_010,True,8.94,True,13.97,"{""TTP_ID"": ""T1071"", ""Explanation"": ""The Volume Shadow Copy service is being abused to delete backup shadows, potentially destroying backups."", ""Severity"": ""High"", ""Mitigation"": ""Restrict execution permissions for vssadmin.exe and monitor volume shadow copy activity.""}","{""TTP_ID"": ""T1075"", ""Explanation"": ""VSS Deletion. The attacker is using the vssadmin utility to remove Volume Shadow Copies, effectively destroying backup copies of potentially malicious files.""}","{""Severity"": ""High"", ""Mitigation"": ""Enable System Restore, monitor volume shadow copy activity, restrict execution rights for non-admin users.""}"
Task_011,True,10.01,True,13.1,"{""TTP_ID"": ""T1021"", ""Explanation"": ""OS Credential Dumping. The attacker is running a tool to enumerate network shares and extract user credentials."", ""Severity"": ""High"", ""Mitigation"": ""Implement strict file and directory permissions, use account lockout policies, enable Network Access Protection (NAP), deploy advanced threat detection solutions.""}","{""TTP_ID"": ""T1027"", ""Explanation"": ""OS Credential Dumping. Running the ipconfig command from an administrative account can be used to map network shares and potentially dump LSASS credentials.""}","{""Severity"": ""High"", ""Mitigation"": ""Block outbound ICMP requests, apply least privilege access controls.""}"
Task_012,True,8.74,True,15.47,"{""TTP_ID"": ""T1218"", ""Explanation"": ""Process Hide. The WINWORD process is running with hidden window styles, indicating potential process hiding."", ""Severity"": ""High"", ""Mitigation"": ""Restrict execution of processes via the CreateDeferredProcess registry key.""}","{""TTP_ID"": ""T1218.003"", ""Explanation"": ""Process Hide/Disable. The WINWORD.EXE process is running with hidden or disabled window styles, suggesting it may be a malicious process hiding within the legitimate application.""}","{""Severity"": ""High"", ""Mitigation"": ""Quarantine the affected system. Immediately terminate WINWORD.EXE processes running with hidden or disabled window styles.""}"
Task_013,True,8.49,True,12.6,"{""TTP_ID"": ""T1569.001"", ""Explanation"": ""A routine background update executed by the Google Update service."", ""Severity"": ""None (Benign)"", ""Mitigation"": ""Ensure that downloaded updates are verified and originate from legitimate sources.""}","{""TTP_ID"": ""None (Benign)"", ""Explanation"": ""Scheduled system update process initiated by the Google Update service running under SYSTEM privileges.""}","{""Severity"": ""Low"", ""Mitigation"": ""None required (Benign). This is a legitimate execution of an antivirus or system update process.""}"
Task_014,True,7.6,True,11.75,"{""TTP_ID"": ""None (Benign)"", ""Explanation"": ""Windows Time service initiating a scheduled resynchronization."", ""Severity"": ""Low"", ""Mitigation"": ""Allow standard network time protocol traffic through the firewall.""}","{""TTP_ID"": ""None (Benign)"", ""Explanation"": ""The Windows Time Service is running a scheduled synchronization with an external time source. This is considered benign network administration activity.""}","{""Severity"": ""Low"", ""Mitigation"": ""None required.""}"
Task_015,True,8.26,True,10.41,"{   ""TTP_ID"": ""None (Benign)"",   ""Explanation"": ""Administrator checking the status of Background Intelligent Transfer Service (BITS) jobs."",   ""Severity"": ""Low"",   ""Mitigation"": ""N/A"" }","{""TTP_ID"": ""None (Benign)"", ""Explanation"": ""Windows Background Intelligent Transfer Service monitoring process running normally.""}","{""Severity"": ""Low"", ""Mitigation"": ""None required.""}"
Task_016,True,8.78,True,13.29,"{""TTP_ID"": ""T1546.008"", ""Explanation"": ""A malicious user account is being created by the attacker using the net command."", ""Severity"": ""High"", ""Mitigation"": ""Implement strict password policies and monitor Active Directory for unauthorized user creation.""}","{""TTP_ID"": ""T1136.004"", ""Explanation"": ""Account Creation. A new user account is being created by the attacker, likely to maintain persistent access.""}","{""Severity"": ""High"", ""Mitigation"": ""Immediately revoke permissions for backdoor_admin and conduct a thorough malicious code analysis.""}"
Task_017,True,9.0,True,13.54,"{""TTP_ID"": ""T1071"", ""Explanation"": ""Adversary added a new backdoor account to the local Administrator group for persistent access."", ""Severity"": ""High"", ""Mitigation"": ""Immediately revoke permissions of unauthorized accounts and conduct an in-depth malicious code analysis.""}","{""TTP_ID"": ""T1072"", ""Explanation"": ""Account Generation. The attacker is creating a new backdoor account with administrative privileges to maintain persistent access.""}","{""Severity"": ""High"", ""Mitigation"": ""Immediately revoke the unauthorized group membership, investigate audit logs for anomalous activity, and conduct a thorough malicious code analysis.""}"
Task_018,True,9.43,True,13.46,"{""TTP_ID"": ""T1053"", ""Explanation"": ""Windows Management Instrumentation (WMI) Impersonation. The attacker is abusing the WMI API to execute a malicious payload as SYSTEM."", ""Severity"": ""High"", ""Mitigation"": ""Restrict WMI execution rights, apply least privilege principles.""}","{""TTP_ID"": ""T1053.004"", ""Explanation"": ""Windows Management Instrumentation (WMI) Execution. The attacker abused the WMI API to spawn a malicious process, attempting system-level execution.""}","{""Severity"": ""High"", ""Mitigation"": ""Block outbound WMI calls at the firewall or endpoint.""}"
Task_019,True,9.84,True,13.52,"{""TTP_ID"": ""T1053"", ""Explanation"": ""Windows Defender Control Panel manipulation. The attacker executed a PowerShell command to permanently disable Windows Defender real-time monitoring."", ""Severity"": ""High"", ""Mitigation"": ""Immediately re-enable Windows Defender real-time monitoring and conduct a thorough malicious file scan.""}","{""TTP_ID"": ""T1562.004"", ""Explanation"": ""Impair Defenses by modifying Windows Defender settings to disable real-time monitoring, facilitating lateral movement.""}","{""Severity"": ""High"", ""Mitigation"": ""Immediately re-enable real-time monitoring on the affected endpoint and conduct a thorough malicious activity investigation.""}"
Task_020,True,8.1,True,13.71,"{""TTP_ID"": ""T1021"", ""Explanation"": ""A scheduled task executing a malicious executable from an untrusted network location."", ""Severity"": ""High"", ""Mitigation"": ""Disable or remove unauthorized scheduled tasks.""}","{""TTP_ID"": ""T1075"", ""Explanation"": ""Create or Modify System Files. Sysmon Event ID 1 indicates a process executed file system create, modify, or delete operations, commonly associated with malicious tampering.""}","{""Severity"": ""High"", ""Mitigation"": ""Quarantine the affected machine. Remove downloaded files from C:\\""}"
Task_021,True,9.75,True,12.97,"{""TTP_ID"": ""T1021"", ""Explanation"": ""Execution of systeminfo by an unprivileged user indicates potential lateral movement or privilege escalation."", ""Severity"": ""High"", ""Mitigation"": ""Restrict execution rights for non-administrative users. Implement application whitelisting.""}","{""TTP_ID"": ""T1027"", ""Explanation"": ""Bypass User Account Control (UAC). Systeminfo is running with elevated privileges, indicating an adversary bypassed UAC.""}","{""Severity"": ""High"", ""Mitigation"": ""Enable and enforce strict UAC policies. Implement application whitelisting.""}"
Task_022,True,8.56,True,12.57,"{""TTP_ID"": ""T1033"", ""Explanation"": ""Whoami executed by a non-admin user account, attempting to discover system privileges."", ""Severity"": ""High"", ""Mitigation"": ""Restrict execution rights for whoami.exe and other privilege checking utilities.""}","{""TTP_ID"": ""T1036"", ""Explanation"": ""Account Discovery. The attacker is running whoami to discover the current user context and potentially map Active Directory groups.""}","{""Severity"": ""High"", ""Mitigation"": ""Restrict execution of whoami.exe, implement least privilege access controls.""}"
Task_023,True,8.85,True,12.65,"{""TTP_ID"": ""T1043"", ""Explanation"": ""Large Scale Port Scanner. The attacker is using netstat to enumerate active connections and listening ports."", ""Severity"": ""High"", ""Mitigation"": ""Block outbound UDP/ICMP requests, apply strict firewall rules.""}","{""TTP_ID"": ""T1046"", ""Explanation"": ""The attacker is mapping the active network connections to identify potentially malicious communication endpoints.""}","{""Severity"": ""High"", ""Mitigation"": ""Implement strict firewall rules, apply least privilege access controls, and monitor outbound traffic for anomalies.""}"
Task_024,True,8.66,True,13.41,"{""TTP_ID"": ""T1047"", ""Explanation"": ""Ingress Tool Transfer. The attacker downloaded a malicious payload from an external server."", ""Severity"": ""High"", ""Mitigation"": ""Block outbound web traffic to known malicious domains, implement application control.""}","{""TTP_ID"": ""T1059"", ""Explanation"": ""Ingress Tool Transfer. The attacker used PowerShell to download an executable payload from a remote server.""}","{""Severity"": ""High"", ""Mitigation"": ""Block inbound HTTP/HTTPS traffic to malicious-c2.com, terminate process execution of powershell.exe.""}"
Task_025,True,8.61,True,13.79,"{""TTP_ID"": ""T1053"", ""Explanation"": ""DLL Injection via rundll32.exe executing a script."", ""Severity"": ""High"", ""Mitigation"": ""Restrict execution rights for non-system processes, implement application control.""}","{""TTP_ID"": ""T1209"", ""Explanation"": ""Web Service Execution. The attacker abused the rundll32.exe process to execute a malicious script hosted on an external server.""}","{""Severity"": ""High"", ""Mitigation"": ""Block outbound requests initiated by rundll32.exe using application control lists.""}"
Task_026,True,8.74,True,12.56,"{""TTP_ID"": ""T1075"", ""Explanation"": ""Attacker is searching the file system for unsecured files containing passwords or sensitive information."", ""Severity"": ""High"", ""Mitigation"": ""Implement strict file filtering, restrict access to directories containing sensitive data, and encrypt backup copies.""}","{""TTP_ID"": ""T1564.002"", ""Explanation"": ""Search Delegitimized Directory Service Principals All.""}","{""Severity"": ""High"", ""Mitigation"": ""Immediately isolate the affected server, reset passwords, and conduct a thorough forensic investigation.""}"
Task_027,True,10.67,True,14.41,"{""TTP_ID"": ""T1048"", ""Explanation"": ""File Exclusive Access (Remote Code Execution via File Copy). The attacker is using curl to upload a stolen archive directly to an external server."", ""Severity"": ""High"", ""Mitigation"": ""Block inbound and outbound traffic on port 8080, implement strict file permissions, conduct endpoint security scans.""}","{""TTP_ID"": ""T1496"", ""Explanation"": ""Data Exfiltration Over Alternative Protocol. The attacker is using the cURL utility to upload stolen data directly to an external server over HTTP.""}","{""Severity"": ""High"", ""Mitigation"": ""Block outbound connections on port 8080, especially by non-standard protocols or scripts.""}"
Task_028,True,14.01,True,13.79,"{""TTP_ID"": ""T1075"", ""Explanation"": ""ntdsutl.exe is the command-line utility for manipulating Active Directory Domain Data Services (AD DS) databases. The \""ac i ntds\"" and \""create full c:\temp\"" parameters indicate an attacker attempting to create a copy chain of the NTDS.dit file on a remote server."", ""Severity"": ""High"", ""Mitigation"": ""Implement strict firewall rules limiting inbound connections to port 389 (LDAP) and outbound connections from endpoints to domain controllers.""}","{""TTP_ID"": ""T1496"", ""Explanation"": ""OS Credential Dumping. The ntdsutil utility is being abused to dump credentials directly from the Active Directory database.""}","{""Severity"": ""High"", ""Mitigation"": ""Immediately isolate affected server, reset passwords, apply Microsoft patches, enable DPAPI enforcement.""}"
Task_029,True,7.56,True,13.75,"{""TTP_ID"": ""T1564"", ""Explanation"": ""Attrib command used to hide an executable file."", ""Severity"": ""High"", ""Mitigation"": ""Implement application whitelisting and monitor filesystem modifications.""}","{""TTP_ID"": ""T14S25"", ""Explanation"": ""Hide Artifacts. The attacker is using attrib to hide a malicious executable by setting hidden and system file attributes.""}","{""Severity"": ""High"", ""Mitigation"": ""Immediately audit the Temp directory for unexpected files, reset ADS credentials, apply restrictive file permissions.""}"
Task_030,True,9.26,True,15.36,"{""TTP_ID"": ""T1546"", ""Explanation"": ""Attacker modified the Sethc registry key to launch cmd.exe when Sticky Keys is triggered."", ""Severity"": ""High"", ""Mitigation"": ""Restore original sethc.exe binary from backup or system restore point.""}","{""TTP_ID"": ""T1546"", ""Explanation"": ""Access Request Monitoring. The registry is being modified to hijack the Sethc (Sticky Keys) binary, creating a backdoor for executing commands via standard input.""}","{""Severity"": ""High"", ""Mitigation"": ""Immediately isolate affected endpoint. Remove registry key and scan with antivirus. Update Defender ControlledFolderAccess policies.""}"
Task_031,True,8.01,True,11.34,"{""TTP_ID"": ""None (Benign)"", ""Explanation"": ""IT Administrator logging in via RDP."", ""Severity"": ""Low"", ""Mitigation"": ""Ensure secure remote access protocols and multi-factor authentication are enforced.""}","{""TTP_ID"": ""None (Benign)"", ""Explanation"": ""A successful remote desktop connection initiated by an IT administrator.""}","{""Severity"": ""Low"", ""Mitigation"": ""This is a normal event. No action required.""}"
Task_032,True,10.01,True,11.18,"{""TTP_ID"": ""T1237"", ""Explanation"": ""Silent/Untimed Execution of Binaries. The standard Windows Installer executing an MSI package silently without user interaction."", ""Severity"": ""Medium"", ""Mitigation"": ""Implement application whitelisting, restrict execution contexts to trusted directories.""}","{""TTP_ID"": ""None (Benign)"", ""Explanation"": ""Standard installation of a software package using the Windows Installer service.""}","{""Severity"": ""Low"", ""Mitigation"": ""None required.""}"
Task_033,True,9.07,True,12.08,"{""TTP_ID"": ""T1021"", ""Explanation"": ""A forced Group Policy update was executed, indicating potential adversary control."", ""Severity"": ""High"", ""Mitigation"": ""Immediately isolate affected endpoint. Investigate backdoor communications. Reset credentials and apply least privilege principles.""}","{""TTP_ID"": ""None (Benign)"", ""Explanation"": ""Routine system update process initiated by the Windows Group Policy Service.""}","{""Severity"": ""Low"", ""Mitigation"": ""None required. This is a benign execution of the native Windows gpupdate utility.""}"
Task_034,True,7.12,True,12.24,"{""TTP_ID"": ""None (Benign)"", ""Explanation"": ""Windows Defender executing a scheduled scan."", ""Severity"": ""Low"", ""Mitigation"": ""Allow system processes to run.""}","{""TTP_ID"": ""None (Benign)"", ""Explanation"": ""Initiation of a Windows Defender full system scan by the System process. This is considered benign, routine security maintenance.""}","{""Severity"": ""Low"", ""Mitigation"": ""None required.""}"
Task_035,True,12.86,True,13.85,"{""TTP_ID"": ""T1547.003"", ""Explanation"": ""Directory or Directory Server Service Discovery Protocol (NDS) / SMB Scan. The attacker is using the NetBIOS LM & NETBIOS SMB Discovery protocols to map the network and identify active servers."", ""Severity"": ""High"", ""Mitigation"": ""Restrict outbound NetBIOS LM/NTLM or disable unsecured WINS services. Implement network segmentation.""}","{""TTP_ID"": ""T1548.003"", ""Explanation"": ""Directory Browsing/Discovery. The adversary is mapping the file server directory structure to identify valuable resources for subsequent attacks.""}","{""Severity"": ""High"", ""Mitigation"": ""Implement strict NTFS permissions, apply network level filtering via DOS or Advanced Firewall rules.""}"
Task_036,True,9.93,True,14.38,"{""TTP_ID"": ""T1021"", ""Explanation"": ""Firewall Deactivation. The attacker disabled the Windows Defender Firewall to allow unrestricted inbound and outbound traffic."", ""Severity"": ""High"", ""Mitigation"": ""Enable System Audit Policy Changes. Monitor network connections using tools like Netstat or Process Explorer.""}","{""TTP_ID"": ""T1071"", ""Explanation"": ""Firewall Configuration Changes. The attacker disabled the Windows Defender Firewall to allow inbound and outbound traffic without restrictions.""}","{""Severity"": ""High"", ""Mitigation"": ""Immediately re-enable the firewall with strict rules, investigate network connections using tools like Netstat or Task Manager, isolate affected systems, and remove malicious processes.""}"
Task_037,True,10.51,True,14.67,"{""TTP_ID"": ""T1053"", ""Explanation"": ""Registry Run Keys Modification. The attacker modified the current user's Run registry key to automatically execute a malicious executable upon system startup."", ""Severity"": ""High"", ""Mitigation"": ""Immediately remove the malicious registry entry using regedit, and scan with an updated antivirus.""}","{""TTP_ID"": ""T1053"", ""Explanation"": ""Registry Run Keys Modification. The attacker modified the current user's registry to automatically start a malicious executable upon system login.""}","{""Severity"": ""High"", ""Mitigation"": ""Immediately revoke permissions of the malicious registry key, initiate an in-depth forensic analysis, and isolate affected systems.""}"
Task_038,True,8.89,True,15.41,"{""TTP_ID"": ""T1053"", ""Explanation"": ""A service has been installed with a malicious executable as its binPath."", ""Severity"": ""High"", ""Mitigation"": ""Immediately remove the unauthorized service using the sc delete command.""}","{""TTP_ID"": ""T1234"", ""Explanation"": ""Create or Modify System Processes. The attacker created a system service named \""WinUpdateSvc\"" pointing to an external executable, establishing persistent remote access.""}","{""Severity"": ""High"", ""Mitigation"": ""Immediately isolate the affected machine from the network. Conduct a forensic analysis and remove malicious components. Update antivirus signatures and scan all systems.""}"
Task_039,True,9.9,True,15.06,"{""TTP_ID"": ""T1546"", ""Explanation"": ""Process Injection via DLL Import. The injector process is loading a DLL into the memory space of another process (explorer.exe)."", ""Severity"": ""High"", ""Mitigation"": ""Enable DEP, Patch applications to fix vulnerabilities, Use application control solutions.""}","{""TTP_ID"": ""T1546"", ""Explanation"": ""Process Injection. The attacker executed a DLL (injector.exe) within the address space of another process (explorer.exe) to maintain persistence and control system execution.""}","{""Severity"": ""High"", ""Mitigation"": ""Implement application whitelisting, enable DEP, PSE, Control Flow Guard, execute your own code in memory only.""}"
Task_040,True,8.94,True,14.62,"{""TTP_ID"": ""T1053"", ""Explanation"": ""Windows Management Instrumentation (WMI) Call Create executing a malicious payload via PowerShell."", ""Severity"": ""High"", ""Mitigation"": ""Restrict WMI execution rights, implement application whitelisting.""}","{""TTP_ID"": ""T1529"", ""Explanation"": ""Windows Remote Management (WinRM) Protocol. The attacker is abusing the WinRM remote management protocol to execute a malicious payload.""}","{""Severity"": ""High"", ""Mitigation"": ""Disable or restrict inbound/outbound WinRM traffic, apply strict firewall rules.""}"
