Test_ID,Expected_TTP,Single_Valid_Keys,Single_TTP_Match,Single_Latency,Multi_Valid_Keys,Multi_TTP_Match,Multi_Latency,Single_Raw,Multi_L1_Raw,Multi_L2_Raw
Task_001,T1003.001,True,False,8.43,True,False,30.14,"{""TTP_ID"": ""T1569"", ""Explanation"": ""DCOM Remotely Executed Code Proposed. A process is executing code on a remote machine via DCOM."", ""Severity"": ""High"", ""Mitigation"": ""Disable or restrict DCOM outbound firewall rules.""}","{""TTP_ID"": ""T1071"", ""Explanation"": ""Process Hide. The attacker is hiding the malicious process by executing it within the legitimate svchost.exe system service binary.""}","{ ""Severity"": ""High"", ""Mitigation"": ""Monitor and block suspicious svchost.exe processes, consider implementing process whitelisting to prevent execution of malicious code within system binaries."" }"
Task_002,T1003.001,True,False,13.91,True,False,34.23,"{""TTP_ID"": ""T1047"", ""Explanation"": ""Registry Modification. The attacker is using PsExec to backdoor the registry, saving an encrypted executable."", ""Severity"": ""High"", ""Mitigation"": ""Enable Windows Defender Credential Protection and monitor outbound network traffic for anomalies.""}","{""TTP_ID"": ""T1097"", ""Explanation"": ""Registry Existence & Defense Evidence Modification. The attacker is using PsExec to back up a registry hive containing extracted credentials or keys, preparing for lateral movement.""}","{   ""Severity"": ""High"",   ""Mitigation"": ""Block the execution of PsExec.exe, restrict access to sensitive registry hives, and implement regular backups of system state to detect unauthorized modifications."" }"
Task_003,T1003.001,True,False,13.9,True,False,27.68,"{""TTP_ID"": ""T1021"", ""Explanation"": ""Remote Code Execution via Remote Desktop Protocol (RDP). The attacker is using PsExec to execute a payload remotely."", ""Severity"": ""High"", ""Mitigation"": ""Disable RDP, use alternative remote administration tools with strong authentication.""}","{""TTP_ID"": ""T1053"", ""Explanation"": ""Attacker is executing a process remotely using the PsExec tool, indicating an Advanced Persistence Connection Backend.""}","{ ""Severity"": ""High"", ""Mitigation"": ""Block execution of PsExec.exe from remote locations and monitor for similar suspicious activity"" }"
Task_004,T1003.001,True,False,11.35,True,False,26.98,"{""TTP_ID"": ""None (Benign)"", ""Explanation"": ""Routine system process execution by the Windows Service Control Manager."", ""Severity"": ""Low"", ""Mitigation"": ""No action required.""}","{""TTP_ID"": ""None (Benign)"", ""Explanation"": ""The Windows Service Control Manager executing a scheduled restart of the Print Spooler service. Standard system behavior.""}","{   ""Severity"": ""Low"",   ""Mitigation"": ""No action required, this is standard system behavior"" }"
Task_005,T1003.001,True,False,13.63,True,False,33.8,"{""TTP_ID"": ""T1053"", ""Explanation"": ""Registry Modification. The Sysinternals Reg tool is being abused to export sensitive registry keys as an external file."", ""Severity"": ""High"", ""Mitigation"": ""Restrict execute permissions for the \""reg\"" command and monitor temporary directories.""}","{""TTP_ID"": ""T1093"", ""Explanation"": ""Registry Export. The attacker is exporting a copy of the current security registry hive to an external file system for offline access or reverse engineering.""}","{   ""Severity"": ""High"",   ""Mitigation"": ""Monitor and restrict access to reg.exe, review system logs for similar events, and consider implementing additional security measures such as registry protection or monitoring tools."" }"
Task_006,T1003.001,True,False,13.21,True,False,33.58,"{""TTP_ID"": ""T1569.004"", ""Explanation"": ""Registry manipulation via reg.exe to spawn a malicious process."", ""Severity"": ""High"", ""Mitigation"": ""Restrict execution permissions for non-administrative processes on the registry.""}","{""TTP_ID"": ""T1569.004"", ""Explanation"": ""Registry hijacking. The registry editor (reg.exe) is being abused to modify the current process image path, pointing it to a malicious DLL.""}","{   ""Severity"": ""High"",   ""Mitigation"": ""Disable or restrict access to reg.exe and monitor for suspicious modifications to system processes."" }"
Task_007,T1003.001,True,False,14.74,True,False,33.1,"{""TTP_ID"": ""T1089"", ""Explanation"": ""Registry modification. The attacker modified the registry to establish persistence."", ""Severity"": ""High"", ""Mitigation"": ""Restore the registry from backup. Implement application whitelisting.""}","{""TTP_ID"": ""T1079"", ""Explanation"": ""Registry modification. The attacker is modifying the Windows registry to establish persistence or hide malicious features.""}","{ ""Severity"": ""High"", ""Mitigation"": ""Monitor registry modifications and implement a Group Policy to restrict access to the registry, consider implementing a registry monitoring tool to detect suspicious activity."" }"
Task_008,T1003.001,True,False,13.24,True,False,29.91,"{""TTP_ID"": ""T1089"", ""Explanation"": ""Registry modification. The attacker modified the registry to establish persistence."", ""Severity"": ""High"", ""Mitigation"": ""Restore the registry from backup. Implement application whitelisting.""}","{""TTP_ID"": ""T1079"", ""Explanation"": ""Registry modification. The attacker is modifying the Windows registry to establish persistence or hide malicious features.""}","{ ""Severity"": ""High"", ""Mitigation"": ""Monitor registry modifications and implement a Group Policy to restrict access to the registry, consider implementing a registry monitoring tool to detect suspicious activity."" }"
Task_009,T1003.001,True,False,12.47,True,False,30.71,"{""TTP_ID"": ""T1098"", ""Explanation"": ""DCOM Process Discovery. A process is attempting to enumerate remote computers using DCOM."", ""Severity"": ""High"", ""Mitigation"": ""Restrict DCOM outbound access, apply firewall rules.""}","{""TTP_ID"": ""T1071"", ""Explanation"": ""Process Hide. The attacker is running a process under the svchost executable to blend in with normal system processes and evade defense mechanisms.""}","{ ""Severity"": ""High"", ""Mitigation"": ""Monitor svchost.exe for suspicious activity, consider implementing process whitelisting or restricting access to sensitive areas of the system"" }"
Task_010,T1003.001,True,False,12.4,True,False,31.03,"{""TTP_ID"": ""T1098"", ""Explanation"": ""DCOM Process Discovery. A process is attempting to enumerate remote computers using DCOM."", ""Severity"": ""High"", ""Mitigation"": ""Restrict DCOM outbound access, apply firewall rules.""}","{""TTP_ID"": ""T1071"", ""Explanation"": ""Process Hide. The attacker is running a process under the svchost executable to blend in with normal system processes and evade defense mechanisms.""}","{ ""Severity"": ""High"", ""Mitigation"": ""Monitor svchost.exe for suspicious activity, consider implementing process whitelisting or restricting access to sensitive areas of the system"" }"
